season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2008,1,Dt,At,At,At,At,At,At
2008,1,Az,Sf,Az,Sf,Sf,Sf,Az
2008,1,Cn,Ba,Ba,Ba,Cn,Cn,Ba
2008,1,Se,Bu,Se,Se,Se,Se,Bu
2008,1,Ca,Sd,Sd,Sd,Sd,Sd,Ca
2008,1,Ch,In,In,In,In,In,Ch
2008,1,Da,Cl,Da,Da,Da,Da,Da
2008,1,Dn,Oa,Dn,Dn,Dn,Dn,Dn
2008,1,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2008,1,Wa,Gi,Gi,Gi,Gi,Gi,Gi
2008,1,Jt,Mi,Jt,Jt,Mi,Jt,Jt
2008,1,Kc,Ne,Ne,Ne,Ne,Ne,Ne
2008,1,Tb,No,Tb,No,No,No,No
2008,1,Sl,Ph,Ph,Ph,Ph,Ph,Ph
2008,1,Ho,Pt,Pt,Pt,Pt,Pt,Pt
2008,1,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2008,2,Mi,Az,Az,Az,Az,Az,Az
2008,2,Ba,Ho,Ba,Ba,Ba,Ba,Ba
2008,2,Bu,Jk,Bu,Jk,Bu,Jk,Bu
2008,2,Ch,Ca,Ca,Ch,Ch,Ca,Ca
2008,2,Ph,Da,Da,Da,Da,Da,Da
2008,2,Sd,Dn,Sd,Dn,Dn,Dn,Dn
2008,2,Gb,Dt,Gb,Gb,Gb,Gb,Gb
2008,2,Gi,Sl,Gi,Gi,Gi,Gi,Gi
2008,2,In,Mn,In,In,In,In,In
2008,2,Ne,Jt,Jt,Ne,Ne,Jt,Ne
2008,2,Oa,Kc,Kc,Kc,Kc,Kc,Oa
2008,2,Pt,Cl,Pt,Pt,Pt,Pt,Pt
2008,2,Sf,Se,Se,Se,Se,Se,Sf
2008,2,At,Tb,At,At,At,Tb,Tb
2008,2,Tn,Cn,Tn,Tn,Tn,Cn,Tn
2008,2,No,Wa,Wa,No,No,Wa,Wa
2008,3,Kc,At,At,At,At,At,At
2008,3,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2008,3,Oa,Bu,Bu,Bu,Bu,Bu,Bu
2008,3,Da,Gb,Gb,Da,Gb,Da,Da
2008,3,No,Dn,Dn,Dn,Dn,Dn,Dn
2008,3,Cn,Gi,Gi,Gi,Gi,Gi,Gi
2008,3,Jk,In,In,In,In,In,Jk
2008,3,Mi,Ne,Ne,Ne,Ne,Ne,Mi
2008,3,Ca,Mn,Ca,Mn,Ca,Mn,Mn
2008,3,Pt,Ph,Pt,Ph,Pt,Ph,Ph
2008,3,Jt,Sd,Sd,Sd,Jt,Sd,Sd
2008,3,Sl,Se,Se,Se,Se,Se,Se
2008,3,Dt,Sf,Sf,Sf,Sf,Sf,Sf
2008,3,Tb,Ch,Ch,Tb,Ch,Ch,Tb
2008,3,Ho,Tn,Tn,Tn,Tn,Tn,Tn
2008,3,Az,Wa,Wa,Wa,Az,Wa,Wa
2008,4,Bu,Sl,Bu,Bu,Bu,Bu,Bu
2008,4,At,Ca,Ca,Ca,At,Ca,Ca
2008,4,Ph,Ch,Ph,Ch,Ch,Ph,Ch
2008,4,Cl,Cn,Cl,Cn,Cn,Cn,Cl
2008,4,Ho,Jk,Jk,Jk,Jk,Jk,Jk
2008,4,Az,Jt,Jt,Jt,Jt,Jt,Jt
2008,4,Dn,Kc,Dn,Dn,Dn,Dn,Kc
2008,4,Sf,No,Sf,No,No,No,No
2008,4,Ba,Pt,Pt,Pt,Pt,Pt,Pt
2008,4,Sd,Oa,Sd,Sd,Sd,Sd,Sd
2008,4,Gb,Tb,Gb,Gb,Gb,Gb,Tb
2008,4,Mn,Tn,Tn,Tn,Tn,Tn,Tn
2008,4,Wa,Da,Da,Da,Da,Da,Wa
2008,5,At,Gb,Gb,Gb,Gb,Gb,At
2008,5,Bu,Az,Bu,Bu,Bu,Bu,Az
2008,5,Kc,Ca,Ca,Ca,Kc,Ca,Ca
2008,5,Ch,Dt,Ch,Ch,Ch,Ch,Ch
2008,5,Cn,Da,Da,Da,Da,Da,Da
2008,5,Tb,Dn,Dn,Dn,Dn,Dn,Dn
2008,5,Se,Gi,Gi,Gi,Gi,Gi,Gi
2008,5,In,Ho,In,In,In,In,In
2008,5,Sd,Mi,Sd,Sd,Sd,Sd,Mi
2008,5,Mn,No,No,No,No,No,Mn
2008,5,Ne,Sf,Ne,Ne,Ne,Ne,Ne
2008,5,Pt,Jk,Pt,Jk,Pt,Jk,Pt
2008,5,Tn,Ba,Tn,Tn,Tn,Tn,Tn
2008,5,Wa,Ph,Ph,Wa,Wa,Ph,Wa
2008,6,Ch,At,Ch,Ch,Ch,At,At
2008,6,Da,Az,Da,Da,Da,Da,Az
2008,6,Gi,Cl,Gi,Gi,Gi,Gi,Cl
2008,6,Gb,Se,Gb,Se,Gb,Gb,Gb
2008,6,Mi,Ho,Ho,Mi,Mi,Mi,Ho
2008,6,Ba,In,In,In,In,In,In
2008,6,Jk,Dn,Dn,Dn,Dn,Dn,Jk
2008,6,Cn,Jt,Jt,Jt,Cn,Jt,Jt
2008,6,Dt,Mn,Mn,Mn,Mn,Mn,Mn
2008,6,Oa,No,No,No,No,No,No
2008,6,Ph,Sf,Ph,Ph,Ph,Ph,Ph
2008,6,Ne,Sd,Sd,Sd,Ne,Sd,Sd
2008,6,Sl,Wa,Wa,Wa,Wa,Wa,Sl
2008,6,Ca,Tb,Ca,Ca,Ca,Ca,Tb
2008,7,Ba,Mi,Mi,Mi,Ba,Mi,Ba
2008,7,Sd,Bu,Bu,Sd,Sd,Sd,Bu
2008,7,No,Ca,Ca,Ca,No,Ca,Ca
2008,7,Mn,Ch,Mn,Mn,Ch,Ch,Ch
2008,7,In,Gb,In,In,Gb,Gb,Gb
2008,7,Sf,Gi,Gi,Gi,Gi,Gi,Gi
2008,7,Dt,Ho,Ho,Ho,Ho,Ho,Ho
2008,7,Dn,Ne,Ne,Dn,Dn,Ne,Ne
2008,7,Jt,Oa,Jt,Jt,Jt,Jt,Oa
2008,7,Pt,Cn,Pt,Pt,Pt,Pt,Pt
2008,7,Da,Sl,Da,Da,Da,Da,Sl
2008,7,Se,Tb,Tb,Tb,Se,Tb,Tb
2008,7,Tn,Kc,Tn,Tn,Tn,Tn,Tn
2008,7,Cl,Wa,Wa,Wa,Wa,Wa,Wa
2008,8,Oa,Ba,Ba,Ba,Ba,Ba,Ba
2008,8,Az,Ca,Ca,Ca,Ca,Ca,Ca
2008,8,Cl,Jk,Jk,Jk,Jk,Jk,Cl
2008,8,Tb,Da,Da,Da,Da,Tb,Da
2008,8,Gi,Pt,Pt,Gi,Gi,Pt,Gi
2008,8,Kc,Jt,Jt,Jt,Jt,Jt,Jt
2008,8,Bu,Mi,Bu,Mi,Bu,Bu,Mi
2008,8,Sl,Ne,Ne,Ne,Ne,Ne,Ne
2008,8,Sd,No,No,Sd,Sd,Sd,No
2008,8,At,Ph,Ph,Ph,Ph,Ph,Ph
2008,8,Se,Sf,Sf,Se,Se,Se,Se
2008,8,In,Tn,Tn,In,Tn,Tn,Tn
2008,8,Wa,Dt,Wa,Wa,Wa,Wa,Wa
2008,9,At,Oa,At,At,At,At,At
2008,9,Az,Sl,Az,Sl,Az,Az,Az
2008,9,Ba,Cl,Ba,Ba,Ba,Cl,Ba
2008,9,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2008,9,Jk,Cn,Jk,Jk,Jk,Jk,Cn
2008,9,Da,Gi,Gi,Gi,Gi,Gi,Gi
2008,9,Ne,In,In,In,Ne,Ne,In
2008,9,Jt,Bu,Bu,Bu,Bu,Bu,Jt
2008,9,Mi,Dn,Dn,Dn,Dn,Dn,Mi
2008,9,Ho,Mn,Mn,Mn,Mn,Mn,Mn
2008,9,Ph,Se,Ph,Ph,Ph,Ph,Ph
2008,9,Pt,Wa,Pt,Wa,Pt,Wa,Pt
