season,Week,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2011,1,Ca,Az,Az,Ca,Ca,Az,Az
2011,1,Pt,Ba,Pt,Pt,Pt,Pt,Ba
2011,1,Bu,Kc,Kc,Kc,Bu,Kc,Bu
2011,1,At,Ch,Ch,Ch,Ch,Ch,Ch
2011,1,Cn,Cl,Cl,Cn,Cn,Cl,Cn
2011,1,Dt,Tb,Tb,Dt,Tb,Tb,Dt
2011,1,No,Gb,Gb,Gb,Gb,Gb,Gb
2011,1,In,Ho,In,In,In,Ho,Ho
2011,1,Tn,Jk,Tn,Tn,Tn,Tn,Jk
2011,1,Da,Jt,Da,Jt,Jt,Jt,Jt
2011,1,Ne,Mi,Ne,Ne,Ne,Ne,Ne
2011,1,Oa,Dn,Dn,Dn,Dn,Dn,Oa
2011,1,Ph,Sl,Ph,Ph,Ph,Ph,Ph
2011,1,Mn,Sd,Sd,Sd,Sd,Sd,Sd
2011,1,Se,Sf,Se,Se,Se,Sf,Sf
2011,1,Gi,Wa,Gi,Wa,Gi,Gi,Wa
2011,2,Ph,At,Ph,Ph,Ph,Ph,At
2011,2,Oa,Bu,Oa,Bu,Bu,Bu,Bu
2011,2,Cl,In,In,In,Cl,In,Cl
2011,2,Da,Sf,Da,Da,Sf,Sf,Da
2011,2,Cn,Dn,Cn,Dn,Cn,Cn,Dn
2011,2,Kc,Dt,Dt,Dt,Dt,Dt,Dt
2011,2,Gb,Ca,Gb,Gb,Gb,Gb,Gb
2011,2,Sl,Gi,Gi,Gi,Gi,Gi,Gi
2011,2,Ho,Mi,Mi,Ho,Ho,Ho,Ho
2011,2,Jk,Jt,Jt,Jt,Jt,Jt,Jt
2011,2,Sd,Ne,Ne,Ne,Ne,Ne,Ne
2011,2,Ch,No,No,No,No,No,No
2011,2,Se,Pt,Pt,Pt,Pt,Pt,Pt
2011,2,Tb,Mn,Mn,Mn,Mn,Tb,Tb
2011,2,Ba,Tn,Ba,Ba,Ba,Ba,Tn
2011,2,Az,Wa,Wa,Wa,Wa,Wa,Wa
2011,3,Ba,Sl,Ba,Sl,Ba,Ba,Ba
2011,3,Ne,Bu,Ne,Ne,Ne,Ne,Bu
2011,3,Jk,Ca,Jk,Ca,Ca,Jk,Ca
2011,3,Mi,Cl,Cl,Cl,Cl,Cl,Cl
2011,3,Wa,Da,Da,Da,Wa,Wa,Da
2011,3,Dt,Mn,Dt,Dt,Mn,Mn,Dt
2011,3,Gb,Ch,Gb,Gb,Gb,Gb,Gb
2011,3,Gi,Ph,Ph,Ph,Ph,Ph,Gi
2011,3,Ho,No,No,No,No,No,No
2011,3,Jt,Oa,Jt,Jt,Jt,Jt,Oa
2011,3,Pt,In,Pt,Pt,Pt,Pt,Pt
2011,3,Kc,Sd,Sd,Sd,Sd,Sd,Sd
2011,3,Az,Se,Az,Az,Se,Az,Se
2011,3,Sf,Cn,Cn,Cn,Cn,Cn,Sf
2011,3,At,Tb,Tb,At,At,Tb,Tb
2011,3,Dn,Tn,Tn,Tn,Tn,Tn,Tn
2011,4,At,Se,At,At,At,At,At
2011,4,Jt,Ba,Ba,Ba,Ba,Ba,Ba
2011,4,Ca,Ch,Ch,Ch,Ch,Ch,Ch
2011,4,Bu,Cn,Bu,Bu,Bu,Bu,Cn
2011,4,Dt,Da,Da,Dt,Dt,Da,Dt
2011,4,Dn,Gb,Gb,Gb,Gb,Gb,Gb
2011,4,Gi,Az,Gi,Gi,Gi,Gi,Gi
2011,4,Pt,Ho,Ho,Ho,Ho,Ho,Ho
2011,4,Mn,Kc,Mn,Kc,Mn,Kc,Kc
2011,4,Ne,Oa,Ne,Ne,Ne,Ne,Ne
2011,4,No,Jk,Jk,No,No,No,No
2011,4,Mi,Sd,Sd,Sd,Sd,Sd,Sd
2011,4,Sf,Ph,Ph,Ph,Ph,Ph,Sf
2011,4,In,Tb,Tb,In,In,Tb,Tb
2011,4,Tn,Cl,Tn,Tn,Cl,Cl,Tn
2011,4,Wa,Sl,Wa,Wa,Wa,Wa,Wa
2011,5,Ph,Bu,Bu,Bu,Bu,Bu,Bu
2011,5,Cn,Jk,Jk,Cn,Cn,Jk,Cn
2011,5,Ch,Dt,Dt,Dt,Dt,Dt,Dt
2011,5,Gb,At,Gb,Gb,Gb,Gb,Gb
2011,5,Kc,In,In,In,In,In,Kc
2011,5,Az,Mn,Mn,Mn,Mn,Mn,Mn
2011,5,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2011,5,No,Ca,No,No,No,No,No
2011,5,Oa,Ho,Ho,Ho,Ho,Ho,Oa
2011,5,Tn,Pt,Pt,Tn,Pt,Tn,Pt
2011,5,Sd,Dn,Sd,Sd,Sd,Sd,Sd
2011,5,Se,Gi,Gi,Gi,Gi,Gi,Se
2011,5,Tb,Sf,Sf,Sf,Sf,Tb,Sf
2011,6,Ca,At,At,Ca,Ca,At,At
2011,6,Ho,Ba,Ba,Ba,Ho,Ba,Ba
2011,6,Mn,Ch,Ch,Ch,Ch,Ch,Ch
2011,6,In,Cn,In,Cn,Cn,Cn,Cn
2011,6,Sl,Gb,Gb,Gb,Gb,Gb,Gb
2011,6,Bu,Gi,Gi,Bu,Bu,Bu,Gi
2011,6,Mi,Jt,Jt,Jt,Jt,Jt,Jt
2011,6,Da,Ne,Ne,Ne,Ne,Ne,Ne
2011,6,Cl,Oa,Cl,Oa,Oa,Oa,Oa
2011,6,Ph,Wa,Ph,Wa,Ph,Wa,Ph
