season,Week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2012,1,At,Kc,Kc,At,At,Kc,At
2012,1,Se,Az,Az,Az,Se,Az,Az
2012,1,Cn,Ba,Ba,Ba,Ba,Ba,Ba
2012,1,In,Ch,Ch,Ch,Ch,Ch,Ch
2012,1,Da,Gi,Gi,Gi,Gi,Gi,Da
2012,1,Pt,Dn,Pt,Dn,Pt,Pt,Dn
2012,1,Sl,Dt,Dt,Dt,Dt,Dt,Dt
2012,1,Mi,Ho,Ho,Ho,Ho,Ho,Ho
2012,1,Bu,Jt,Jt,Jt,Bu,Jt,Jt
2012,1,Jk,Mn,Mn,Mn,Mn,Mn,Mn
2012,1,Ne,Tn,Ne,Ne,Ne,Ne,Ne
2012,1,Ph,Cl,Ph,Ph,Ph,Ph,Ph
2012,1,Sd,Oa,Sd,Oa,Oa,Sd,Sd
2012,1,Sf,Gb,Gb,Gb,Gb,Gb,Sf
2012,1,Ca,Tb,Ca,Ca,Ca,Ca,Tb
2012,1,Wa,No,No,No,No,No,Wa
2012,2,Dn,At,Dn,Dn,Dn,At,At
2012,2,Az,Ne,Ne,Ne,Ne,Ne,Az
2012,2,Kc,Bu,Kc,Kc,Bu,Bu,Bu
2012,2,No,Ca,Ca,No,Ca,No,Ca
2012,2,Cl,Cn,Cl,Cn,Cn,Cn,Cn
2012,2,Ch,Gb,Gb,Gb,Gb,Gb,Gb
2012,2,Tb,Gi,Gi,Gi,Gi,Gi,Gi
2012,2,Ho,Jk,Jk,Ho,Ho,Ho,Ho
2012,2,Mn,In,In,In,In,Mn,In
2012,2,Oa,Mi,Mi,Mi,Oa,Oa,Mi
2012,2,Ba,Ph,Ba,Ph,Ba,Ba,Ph
2012,2,Jt,Pt,Jt,Pt,Pt,Pt,Pt
2012,2,Tn,Sd,Sd,Sd,Sd,Sd,Sd
2012,2,Da,Se,Da,Da,Da,Da,Se
2012,2,Dt,Sf,Sf,Sf,Sf,Sf,Sf
2012,2,Wa,Sl,Wa,Wa,Wa,Wa,Sl
2012,3,At,Sd,Sd,At,At,Sd,At
2012,3,Ph,Az,Az,Ph,Ph,Ph,Az
2012,3,Ne,Ba,Ba,Ba,Ba,Ba,Ba
2012,3,Bu,Cl,Cl,Cl,Bu,Bu,Bu
2012,3,Sl,Ch,Ch,Ch,Ch,Ch,Ch
2012,3,Cn,Wa,Wa,Wa,Wa,Wa,Cn
2012,3,Tb,Da,Da,Da,Da,Da,Da
2012,3,Gi,Ca,Gi,Ca,Ca,Gi,Gi
2012,3,Ho,Dn,Ho,Dn,Dn,Ho,Ho
2012,3,Jk,In,In,In,Jk,In,Jk
2012,3,Jt,Mi,Mi,Jt,Jt,Mi,Jt
2012,3,Kc,No,No,No,No,No,Kc
2012,3,Sf,Mn,Sf,Sf,Sf,Sf,Mn
2012,3,Pt,Oa,Pt,Pt,Pt,Pt,Oa
2012,3,Gb,Se,Gb,Gb,Gb,Gb,Se
2012,3,Dt,Tn,Tn,Tn,Dt,Dt,Tn
2012,4,Ca,At,At,At,At,At,At
2012,4,Mi,Az,Az,Az,Az,Az,Az
2012,4,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2012,4,Ch,Da,Da,Ch,Ch,Da,Ch
2012,4,Cn,Jk,Cn,Jk,Cn,Cn,Cn
2012,4,Oa,Dn,Dn,Dn,Dn,Dn,Dn
2012,4,No,Gb,Gb,Gb,Gb,Gb,Gb
2012,4,Tn,Ho,Ho,Ho,Ho,Ho,Ho
2012,4,Mn,Dt,Dt,Mn,Dt,Dt,Mn
2012,4,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2012,4,Gi,Ph,Ph,Gi,Gi,Ph,Ph
2012,4,Sd,Kc,Sd,Sd,Sd,Sd,Sd
2012,4,Sf,Jt,Sf,Sf,Sf,Sf,Sf
2012,4,Se,Sl,Sl,Se,Se,Se,Sl
2012,4,Wa,Tb,Tb,Wa,Wa,Wa,Wa
2012,5,At,Wa,At,At,At,At,At
2012,5,Ba,Kc,Ba,Ba,Ba,Ba,Ba
2012,5,Ch,Jk,Ch,Ch,Ch,Ch,Ch
2012,5,Cl,Gi,Gi,Gi,Gi,Gi,Gi
2012,5,Ho,Jt,Ho,Ho,Ho,Ho,Ho
2012,5,Gb,In,Gb,Gb,Gb,Gb,In
2012,5,Mi,Cn,Cn,Cn,Cn,Cn,Mi
2012,5,Tn,Mn,Mn,Mn,Tn,Mn,Mn
2012,5,Dn,Ne,Ne,Ne,Ne,Ne,Ne
2012,5,Sd,No,Sd,Sd,No,Sd,No
2012,5,Ph,Pt,Ph,Ph,Pt,Pt,Pt
2012,5,Se,Ca,Ca,Ca,Se,Se,Se
2012,5,Bu,Sf,Sf,Sf,Sf,Sf,Sf
2012,5,Az,Sl,Az,Az,Az,Az,Sl
2012,6,Oa,At,At,At,At,At,At
2012,6,Da,Ba,Ba,Ba,Ba,Ba,Ba
2012,6,Bu,Az,Az,Az,Az,Az,Bu
2012,6,Cn,Cl,Cn,Cl,Cl,Cn,Cl
2012,6,Dn,Sd,Sd,Dn,Sd,Sd,Dn
2012,6,Dt,Ph,Ph,Ph,Ph,Ph,Dt
2012,6,Gb,Ho,Ho,Ho,Gb,Ho,Gb
2012,6,Gi,Sf,Sf,Sf,Sf,Sf,Gi
2012,6,In,Jt,Jt,In,Jt,Jt,Jt
2012,6,Sl,Mi,Mi,Mi,Mi,Mi,Mi
2012,6,Ne,Se,Ne,Ne,Ne,Ne,Se
2012,6,Kc,Tb,Tb,Kc,Tb,Tb,Tb
2012,6,Pt,Tn,Pt,Tn,Pt,Pt,Tn
2012,6,Mn,Wa,Mn,Mn,Wa,Wa,Wa
2012,7,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2012,7,Da,Ca,Da,Ca,Ca,Da,Da
2012,7,Gb,Sl,Gb,Gb,Gb,Gb,Gb
2012,7,Wa,Gi,Gi,Gi,Gi,Gi,Gi
2012,7,Ba,Ho,Ho,Ho,Ho,Ho,Ho
2012,7,Cl,In,In,In,Cl,In,In
2012,7,Az,Mn,Mn,Mn,Az,Mn,Mn
2012,7,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2012,7,No,Tb,No,No,No,Tb,No
2012,7,Jk,Oa,Oa,Oa,Oa,Oa,Oa
2012,7,Pt,Cn,Pt,Cn,Pt,Pt,Pt
2012,7,Se,Sf,Sf,Sf,Sf,Sf,Sf
2012,7,Tn,Bu,Bu,Tn,Bu,Bu,Tn
2012,8,At,Ph,Ph,At,At,Ph,At
2012,8,Ca,Ch,Ch,Ch,Ch,Ch,Ch
