season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2014,1,Gb,Se,Se,Gb,Gb,Se,Se
2014,1,Bu,Ch,Ch,Ch,Ch,Ch,Bu
2014,1,No,At,No,No,No,At,At
2014,1,Cn,Ba,Cn,Ba,Ba,Cn,Cn
2014,1,Jk,Ph,Ph,Ph,Ph,Ph,Ph
2014,1,W,Ho,Ho,W,Ho,W,Ho
2014,1,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2014,1,Mn,Sl,Sl,Mn,Mn,Mn,Mn
2014,1,Tn,Kc,Kc,Kc,Kc,Kc,Tn
2014,1,Ne,Mi,Ne,Ne,Ne,Ne,Mi
2014,1,Oa,Jt,Jt,Jt,Jt,Jt,Jt
2014,1,Sf,Da,Sf,Sf,Sf,Sf,Sf
2014,1,Ca,Tb,Ca,Ca,Tb,Ca,Ca
2014,1,In,Dn,Dn,Dn,Dn,In,Dn
2014,1,Gi,Dt,Gi,Dt,Gi,Gi,Dt
2014,1,Sd,Az,Sd,Sd,Sd,Az,Az
2014,2,Pt,Ba,Ba,Ba,Ba,Pt,Ba
2014,2,Mi,Bu,Bu,Mi,Bu,Bu,Bu
2014,2,Ne,Mn,Ne,Ne,Ne,Ne,Ne
2014,2,At,Cn,Cn,Cn,At,Cn,Cn
2014,2,Da,Tn,Tn,Tn,Tn,Tn,Da
2014,2,Jk,W,Jk,W,W,W,W
2014,2,Az,Gi,Az,Gi,Gi,Az,Az
2014,2,No,Cl,Cl,No,No,No,Cl
2014,2,Dt,Ca,Ca,Dt,Dt,Dt,Ca
2014,2,Se,Sd,Se,Se,Se,Se,Sd
2014,2,Sl,Tb,Tb,Tb,Tb,Tb,Sl
2014,2,Ho,Oa,Ho,Ho,Ho,Oa,Ho
2014,2,Kc,Dn,Dn,Dn,Dn,Dn,Dn
2014,2,Jt,Gb,Gb,Gb,Gb,Gb,Gb
2014,2,Ch,Sf,Sf,Sf,Sf,Sf,Ch
2014,2,Ph,In,In,In,In,In,Ph
2014,3,Tb,At,Tb,At,At,At,At
2014,3,Sd,Bu,Sd,Bu,Sd,Bu,Sd
2014,3,W,Ph,Ph,Ph,W,Ph,Ph
2014,3,Tn,Cn,Cn,Cn,Cn,Cn,Cn
2014,3,Da,Sl,Da,Sl,Da,Da,Da
2014,3,Ho,Gi,Gi,Gi,Ho,Gi,Gi
2014,3,Ba,Cl,Ba,Cl,Ba,Cl,Ba
2014,3,Gb,Dt,Gb,Dt,Gb,Gb,Dt
2014,3,In,Jk,In,Jk,In,In,In
2014,3,Oa,Ne,Ne,Ne,Ne,Ne,Ne
2014,3,Mn,No,No,No,No,No,No
2014,3,Sf,Az,Az,Az,Sf,Az,Az
2014,3,Dn,Se,Se,Se,Se,Se,Se
2014,3,Kc,Mi,Kc,Mi,Kc,Mi,Kc
2014,3,Pt,Ca,Pt,Ca,Pt,Ca,Pt
2014,3,Ch,Jt,Jt,Jt,Ch,Jt,Ch
2014,4,Gi,W,Gi,W,Gi,W,Gi
2014,4,Gb,Ch,Gb,Ch,Gb,Ch,Gb
2014,4,Dt,Jt,Dt,Jt,Jt,Dt,Dt
2014,4,Ca,Ba,Ba,Ba,Ba,Ba,Ba
2014,4,Tb,Pt,Pt,Pt,Pt,Pt,Tb
2014,4,Tn,In,In,In,In,In,In
2014,4,Mi,Oa,Mi,Oa,Oa,Oa,Mi
2014,4,Bu,Ho,Ho,Ho,Ho,Ho,Ho
2014,4,Jk,Sd,Sd,Sd,Sd,Sd,Sd
2014,4,At,Mn,Mn,Mn,At,At,Mn
2014,4,Ph,Sf,Sf,Sf,Sf,Sf,Sf
2014,4,No,Da,No,Da,No,Da,Da
2014,4,Ne,Kc,Kc,Kc,Ne,Ne,Kc
2014,5,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2014,5,Ch,Ca,Ca,Ca,Ch,Ca,Ca
2014,5,Bu,Dt,Bu,Dt,Dt,Dt,Bu
2014,5,Ho,Da,Da,Da,Ho,Da,Da
2014,5,Ba,In,Ba,In,Ba,In,In
2014,5,Sl,Ph,Ph,Ph,Ph,Ph,Ph
2014,5,Cl,Tn,Cl,Tn,Tn,Cl,Cl
2014,5,Pt,Jk,Jk,Jk,Pt,Pt,Pt
2014,5,Tb,No,No,No,No,No,No
2014,5,At,Gi,Gi,Gi,Gi,Gi,Gi
2014,5,Az,Dn,Dn,Dn,Dn,Dn,Dn
2014,5,Jt,Sd,Sd,Sd,Sd,Sd,Sd
2014,5,Kc,Sf,Sf,Sf,Sf,Sf,Sf
2014,5,Cn,Ne,Ne,Ne,Ne,Ne,Ne
2014,5,Se,W,Se,W,Se,Se,Se
2014,6,In,Ho,In,In,Ho,In,In
2014,6,Pt,Cl,Pt,Cl,Pt,Cl,Cl
2014,6,Gb,Mi,Gb,Mi,Gb,Gb,Gb
2014,6,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2014,6,Ca,Cn,Cn,Cn,Cn,Cn,TIE
2014,6,Ch,At,At,At,Ch,At,Ch
2014,6,Dt,Mn,Mn,Mn,Dt,Dt,Dt
2014,6,Ba,Tb,Ba,Tb,Ba,Ba,Ba
2014,6,Ne,Bu,Ne,Bu,Ne,Bu,Ne
2014,6,Dn,Jt,Dn,Jt,Dn,Dn,Dn
2014,6,Sd,Oa,Sd,Oa,Sd,Sd,Sd
2014,6,Da,Se,Se,Se,Se,Se,Da
2014,6,W,Az,Az,Az,W,Az,Az
2014,6,Gi,Ph,Gi,Ph,Ph,Gi,Ph
2014,6,Sf,Sl,Sl,Sl,Sf,Sf,Sf
2014,7,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2014,7,Mi,Ch,Ch,Ch,Ch,Ch,Mi
