season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2018,1,At,Ph,Ph,Ph,Ph,Ph,Ph
2018,1,Bu,Ba,Ba,Ba,Ba,Ba,Ba
2018,1,Cn,In,In,In,In,Cn,Cn
2018,1,Ho,Ne,Ne,Ne,Ne,Ne,Ne
2018,1,Jk,Gi,Jk,Jk,Gi,Gi,Jk
2018,1,Pt,Cl,Pt,Pt,Pt,Pt,TIE
2018,1,Sf,Mn,Sf,Mn,Mn,Mn,Mn
2018,1,Tb,No,No,No,No,No,Tb
2018,1,Tn,Mi,Tn,Tn,Mi,Mi,Mi
2018,1,Kc,Sd,Sd,Kc,Kc,Sd,Kc
2018,1,Da,Ca,Ca,Da,Da,Ca,Ca
2018,1,Se,Dn,Se,Se,Se,Se,Dn
2018,1,W,Az,Az,Az,Az,Az,W
2018,1,Ch,Gb,Gb,Gb,Gb,Gb,Gb
2018,1,Jt,Dt,Dt,Dt,Jt,Dt,Jt
2018,1,La,Oa,La,La,Oa,Oa,La
2018,2,Ba,Cn,Ba,Cn,Ba,Cn,Cn
2018,2,Ca,At,Ca,At,At,At,At
2018,2,Cl,No,No,No,No,No,No
2018,2,Ho,Tn,Ho,Tn,Ho,Tn,Tn
2018,2,In,W,W,W,W,W,In
2018,2,Kc,Pt,Pt,Kc,Pt,Pt,Kc
2018,2,Sd,Bu,Bu,Sd,Sd,Bu,Sd
2018,2,Mi,Jt,Mi,Jt,Jt,Jt,Mi
2018,2,Mn,Gb,Gb,Gb,Gb,Gb,TIE
2018,2,Ph,Tb,Ph,Ph,Ph,Ph,Tb
2018,2,Az,La,Az,La,La,La,La
2018,2,Dt,Sf,Sf,Sf,Sf,Sf,Sf
2018,2,Ne,Jk,Ne,Ne,Jk,Ne,Jk
2018,2,Oa,Dn,Dn,Oa,Dn,Dn,Dn
2018,2,Gi,Da,Da,Da,Da,Gi,Da
2018,2,Se,Ch,Ch,Se,Ch,Se,Ch
2018,3,Jt,Cl,Jt,Cl,Jt,Cl,Cl
2018,3,Bu,Mn,Mn,Mn,Mn,Mn,Bu
2018,3,Cn,Ca,Cn,Cn,Cn,Ca,Ca
2018,3,Dn,Ba,Ba,Ba,Ba,Ba,Ba
2018,3,Gb,W,Gb,Gb,Gb,Gb,W
2018,3,In,Ph,Ph,Ph,Ph,Ph,Ph
2018,3,No,At,At,At,At,At,No
2018,3,Gi,Ho,Gi,Ho,Gi,Ho,Gi
2018,3,Oa,Mi,Mi,Oa,Oa,Mi,Mi
2018,3,Sf,Kc,Kc,Kc,Kc,Kc,Kc
2018,3,Tn,Jk,Jk,Jk,Jk,Jk,Tn
2018,3,Sd,La,Sd,La,La,La,La
2018,3,Ch,Az,Ch,Az,Az,Az,Ch
2018,3,Da,Se,Se,Se,Se,Se,Se
2018,3,Ne,Dt,Ne,Ne,Ne,Ne,Dt
2018,3,Pt,Tb,Pt,Pt,Tb,Tb,Pt
2018,4,Mn,La,La,La,La,La,La
2018,4,Bu,Gb,Gb,Gb,Gb,Gb,Gb
2018,4,Cn,At,Cn,At,At,At,Cn
2018,4,Dt,Da,Da,Da,Da,Da,Da
2018,4,Ho,In,In,In,Ho,In,Ho
2018,4,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2018,4,Jt,Jk,Jk,Jk,Jk,Jk,Jk
2018,4,Ph,Tn,Ph,Ph,Ph,Ph,Tn
2018,4,Tb,Ch,Ch,Ch,Ch,Tb,Ch
2018,4,Cl,Oa,Cl,Oa,Oa,Oa,Oa
2018,4,Se,Az,Se,Se,Az,Se,Se
2018,4,No,Gi,No,No,No,No,No
2018,4,Sf,Sd,Sd,Sd,Sf,Sd,Sd
2018,4,Ba,Pt,Pt,Pt,Pt,Pt,Ba
2018,4,Kc,Dn,Kc,Kc,Kc,Kc,Kc
2018,5,In,Ne,Ne,Ne,Ne,Ne,Ne
2018,5,At,Pt,Pt,Pt,At,Pt,Pt
2018,5,Ba,Cl,Ba,Ba,Ba,Ba,Cl
2018,5,Dn,Jt,Dn,Dn,Dn,Dn,Jt
2018,5,Gb,Dt,Gb,Gb,Gb,Gb,Dt
2018,5,Jk,Kc,Kc,Kc,Jk,Kc,Kc
2018,5,Mi,Cn,Cn,Cn,Cn,Cn,Cn
2018,5,Gi,Ca,Ca,Ca,Ca,Ca,Ca
2018,5,Tn,Bu,Tn,Tn,Bu,Tn,Bu
2018,5,Oa,Sd,Sd,Sd,Oa,Sd,Sd
2018,5,Az,Sf,Sf,Sf,Az,Sf,Az
2018,5,La,Se,La,La,La,La,La
2018,5,Mn,Ph,Ph,Ph,Ph,Ph,Mn
2018,5,Da,Ho,Da,Da,Ho,Da,Ho
2018,5,W,No,No,No,No,No,No
2018,6,Ph,Gi,Ph,Gi,Ph,Ph,Ph
2018,6,Az,Mn,Mn,Mn,Az,Mn,Mn
2018,6,Bu,Ho,Ho,Ho,Ho,Ho,Ho
2018,6,Ca,W,Ca,W,Ca,Ca,W
2018,6,Ch,Mi,Ch,Mi,Ch,Mi,Mi
2018,6,In,Jt,Jt,In,Jt,Jt,Jt
2018,6,Sd,Cl,Cl,Cl,Cl,Cl,Sd
2018,6,Pt,Cn,Pt,Pt,Pt,Pt,Pt
2018,6,Se,Oa,Se,Oa,Oa,Se,Se
2018,6,Tb,At,Tb,At,At,At,At
2018,6,La,Dn,La,La,La,La,La
2018,6,Ba,Tn,Tn,Ba,Tn,Tn,Ba
2018,6,Jk,Da,Jk,Jk,Jk,Jk,Da
2018,6,Kc,Ne,Ne,Ne,Kc,Ne,Ne
2018,6,Sf,Gb,Gb,Gb,Gb,Gb,Gb
2018,7,Dn,Az,Dn,Dn,Az,Dn,Dn
2018,7,Tn,Sd,Sd,Sd,Tn,Sd,Sd
2018,7,Bu,In,Bu,In,In,Bu,In
2018,7,Ca,Ph,Ph,Ph,Ph,Ph,Ca
2018,7,Cn,Kc,Kc,Kc,Kc,Kc,Kc
2018,7,Cl,Tb,Cl,Tb,Cl,Tb,Tb
2018,7,Dt,Mi,Mi,Dt,Mi,Mi,Dt
2018,7,Ho,Jk,Jk,Jk,Jk,Jk,Ho
2018,7,Mn,Jt,Jt,Mn,Mn,Mn,Mn
2018,7,Ne,Ch,Ne,Ne,Ne,Ne,Ne
2018,7,No,Ba,No,Ba,No,Ba,No
2018,7,Da,W,W,W,Da,W,W
2018,7,La,Sf,La,La,Sf,La,La
2018,7,Gi,At,At,At,At,At,At
2018,8,Mi,Ho,Mi,Ho,Ho,Ho,Ho
2018,8,Ph,Jk,Jk,Jk,Jk,Ph,Ph
2018,8,Ba,Ca,Ca,Ca,Ca,Ca,Ca
2018,8,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2018,8,Dn,Kc,Kc,Kc,Kc,Kc,Kc
2018,8,Jt,Ch,Ch,Ch,Ch,Ch,Ch
2018,8,Se,Dt,Se,Se,Se,Dt,Se
2018,8,Tb,Cn,Cn,Cn,Tb,Cn,Cn
2018,8,W,Gi,W,W,Gi,W,W
2018,8,In,Oa,Oa,In,Oa,In,In
2018,8,Gb,La,La,La,Gb,La,La
2018,8,Sf,Az,Az,Az,Az,Az,Az
2018,8,No,Mn,Mn,No,Mn,Mn,No
2018,8,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2018,9,Oa,Sf,Sf,Sf,Oa,Sf,Sf
2018,9,At,W,W,W,At,W,At
2018,9,Ch,Bu,Ch,Ch,Ch,Ch,Ch
2018,9,Dt,Mn,Mn,Mn,Mn,Mn,Mn
2018,9,Kc,Cl,Kc,Kc,Kc,Kc,Kc
2018,9,Jt,Mi,Jt,Mi,Mi,Jt,Mi
2018,9,Pt,Ba,Pt,Pt,Pt,Pt,Pt
2018,9,Tb,Ca,Ca,Ca,Ca,Ca,Ca
2018,9,Ho,Dn,Ho,Dn,Ho,Ho,Ho
2018,9,Sd,Se,Se,Se,Se,Se,Sd
2018,9,La,No,La,No,La,La,No
2018,9,Gb,Ne,Ne,Ne,Gb,Ne,Ne
2018,9,Tn,Da,Da,Da,Da,Da,Tn
2018,10,Ca,Pt,Pt,Pt,Ca,Pt,Pt
2018,10,Az,Kc,Kc,Kc,Kc,Kc,Kc
2018,10,At,Cl,At,At,At,At,Cl
2018,10,Bu,Jt,Jt,Jt,Jt,Jt,Bu
2018,10,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2018,10,Jk,In,In,Jk,Jk,In,In
2018,10,Mi,Gb,Gb,Gb,Gb,Gb,Gb
2018,10,Ne,Tn,Ne,Ne,Ne,Ne,Tn
2018,10,No,Cn,No,No,No,No,No
2018,10,W,Tb,W,Tb,W,W,W
2018,10,Sd,Oa,Sd,Sd,Sd,Sd,Sd
2018,10,Se,La,La,La,La,La,La
2018,10,Da,Ph,Ph,Ph,Ph,Ph,Da
2018,10,Gi,Sf,Sf,Sf,Sf,Sf,Gi
2018,11,Gb,Se,Gb,Se,Gb,Gb,Se
2018,11,Ca,Dt,Ca,Ca,Ca,Ca,Dt
2018,11,Cn,Ba,Cn,Cn,Ba,Ba,Ba
2018,11,Da,At,At,At,At,At,Da
2018,11,Ho,W,W,W,W,Ho,Ho
2018,11,Mn,Ch,Ch,Ch,Ch,Ch,Ch
2018,11,Ph,No,No,No,No,No,No
2018,11,Tb,Gi,Tb,Gi,Gi,Gi,Gi
2018,11,Tn,In,Tn,Tn,Tn,In,In
2018,11,Dn,Sd,Sd,Sd,Sd,Sd,Dn
2018,11,Oa,Az,Az,Az,Oa,Az,Oa
2018,11,Pt,Jk,Pt,Pt,Jk,Pt,Pt
2018,11,Kc,La,La,Kc,Kc,La,La
2018,12,Ch,Dt,Ch,Dt,Ch,Ch,Ch
2018,12,W,Da,W,Da,W,W,Da
2018,12,At,No,No,No,No,No,No
2018,12,Cl,Cn,Cn,Cn,Cn,Cn,Cl
2018,12,Jk,Bu,Jk,Jk,Jk,Bu,Bu
2018,12,Mi,In,In,In,Mi,In,In
2018,12,Ne,Jt,Ne,Ne,Ne,Ne,Ne
2018,12,Gi,Ph,Ph,Ph,Ph,Ph,Ph
2018,12,Oa,Ba,Ba,Ba,Ba,Ba,Ba
2018,12,Sf,Tb,Tb,Tb,Sf,Tb,Tb
2018,12,Se,Ca,Ca,Ca,Ca,Se,Se
2018,12,Az,Sd,Sd,Sd,Sd,Sd,Sd
2018,12,Pt,Dn,Pt,Pt,Dn,Pt,Dn
2018,12,Gb,Mn,Gb,Gb,Gb,Gb,Mn
2018,12,Tn,Ho,Ho,Ho,Ho,Ho,Ho
2018,13,No,Da,No,No,No,No,Da
2018,13,Az,Gb,Gb,Gb,Gb,Gb,Az
2018,13,Ba,At,At,At,At,Ba,Ba
2018,13,Bu,Mi,Mi,Mi,Mi,Bu,Mi
2018,13,Ca,Tb,Ca,Ca,Ca,Ca,Tb
2018,13,Ch,Gi,Ch,Ch,Ch,Ch,Gi
2018,13,Cl,Ho,Ho,Ho,Ho,Ho,Ho
2018,13,Dn,Cn,Dn,Dn,Dn,Dn,Dn
2018,13,In,Jk,Jk,In,Jk,In,Jk
2018,13,Sd,Pt,Pt,Pt,Pt,Pt,Sd
2018,13,La,Dt,La,La,La,La,La
2018,13,Kc,Oa,Kc,Kc,Kc,Kc,Kc
2018,13,Jt,Tn,Tn,Tn,Tn,Tn,Tn
2018,13,Mn,Ne,Ne,Ne,Ne,Ne,Ne
2018,13,Sf,Se,Se,Se,Se,Se,Se
2018,13,W,Ph,W,Ph,Ph,Ph,Ph
2018,14,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2018,14,At,Gb,Gb,Gb,Gb,Gb,Gb
2018,14,Ba,Kc,Kc,Kc,Kc,Kc,Kc
2018,14,Ca,Cl,Cl,Ca,Ca,Ca,Cl
