,index,Away Team,Home Team,week,ganador,home_score,away_score,HomeWin,AwayWin,HomeScoreForLag,HomeScoreAgainstLag,HomeWinLag,AwayWinLag,AwayScoreForLag,AwayScoreAgainstLag
16,16,Jt,Bu,2.0,Jt,31.0,37.0,0,1,7.0,13.0,0.0,1.0,23.0,22.0
17,17,Sf,Ca,2.0,Ca,46.0,27.0,1,0,20.0,21.0,0.0,0.0,0.0,28.0
18,18,Da,W,2.0,Da,23.0,27.0,0,1,38.0,16.0,1.0,1.0,20.0,19.0
19,19,Cn,Pt,2.0,Pt,24.0,16.0,1,0,38.0,16.0,1.0,1.0,23.0,22.0
20,20,No,Gi,2.0,Gi,16.0,13.0,1,0,20.0,19.0,1.0,1.0,35.0,34.0
21,21,Mi,Ne,2.0,Ne,31.0,24.0,1,0,23.0,21.0,1.0,0.0,10.0,12.0
22,22,Kc,Ho,2.0,Ho,19.0,12.0,1,0,14.0,23.0,0.0,0.0,27.0,33.0
23,23,Tn,Dt,2.0,Tn,15.0,16.0,0,1,39.0,35.0,1.0,1.0,25.0,16.0
24,24,Ba,Cl,2.0,Ba,20.0,25.0,0,1,10.0,29.0,0.0,0.0,7.0,13.0
25,25,Se,La,2.0,La,9.0,3.0,1,0,0.0,28.0,0.0,0.0,10.0,12.0
26,26,Tb,Az,2.0,Az,40.0,7.0,1,0,23.0,21.0,1.0,1.0,31.0,24.0
27,27,Jk,Sd,2.0,Sd,38.0,14.0,1,0,27.0,33.0,0.0,1.0,27.0,23.0
28,28,At,Oa,2.0,At,28.0,35.0,0,1,35.0,34.0,1.0,1.0,31.0,24.0
29,29,In,Dn,2.0,Dn,34.0,20.0,1,0,20.0,21.0,0.0,1.0,39.0,35.0
30,30,Gb,Mn,2.0,Mn,17.0,14.0,1,0,25.0,16.0,1.0,1.0,27.0,23.0
31,31,Ph,Ch,2.0,Ph,14.0,29.0,0,1,14.0,23.0,0.0,0.0,10.0,29.0
32,32,Ho,Ne,3.0,Ne,27.0,0.0,1,0,24.0,31.0,0.0,0.0,12.0,19.0
33,33,Az,Bu,3.0,Bu,33.0,18.0,1,0,37.0,31.0,1.0,0.0,7.0,40.0
34,34,Oa,Tn,3.0,Oa,10.0,17.0,0,1,16.0,15.0,1.0,1.0,35.0,28.0
35,35,W,Gi,3.0,W,27.0,29.0,0,1,13.0,16.0,0.0,1.0,27.0,23.0
36,36,Cl,Mi,3.0,Mi,30.0,24.0,1,0,24.0,31.0,0.0,1.0,25.0,20.0
37,37,Ba,Jk,3.0,Ba,17.0,19.0,0,1,14.0,38.0,0.0,1.0,25.0,20.0
38,38,Dt,Gb,3.0,Gb,34.0,27.0,1,0,14.0,17.0,0.0,1.0,16.0,15.0
39,39,Dn,Cn,3.0,Dn,17.0,29.0,0,1,16.0,24.0,0.0,0.0,20.0,34.0
40,40,Mn,Ca,3.0,Mn,10.0,22.0,0,1,27.0,46.0,0.0,0.0,14.0,17.0
41,41,La,Tb,3.0,La,32.0,37.0,0,1,7.0,40.0,0.0,0.0,3.0,9.0
42,42,Sf,Se,3.0,Se,37.0,18.0,1,0,3.0,9.0,0.0,0.0,27.0,46.0
43,43,Jt,Kc,3.0,Kc,24.0,3.0,1,0,12.0,19.0,0.0,1.0,37.0,31.0
44,44,Sd,In,3.0,In,26.0,22.0,1,0,20.0,34.0,0.0,0.0,14.0,38.0
45,45,Pt,Ph,3.0,Ph,34.0,3.0,1,0,29.0,14.0,1.0,0.0,16.0,24.0
46,46,Ch,Da,3.0,Da,31.0,17.0,1,0,27.0,23.0,1.0,1.0,29.0,14.0
47,47,At,No,3.0,At,32.0,45.0,0,1,13.0,16.0,0.0,1.0,35.0,28.0
48,48,Mi,Cn,4.0,Cn,22.0,7.0,1,0,29.0,17.0,1.0,0.0,24.0,30.0
49,49,In,Jk,4.0,Jk,30.0,27.0,1,0,19.0,17.0,1.0,0.0,22.0,26.0
50,50,Tn,Ho,4.0,Ho,27.0,20.0,1,0,0.0,27.0,0.0,1.0,17.0,10.0
51,51,Cl,W,4.0,W,31.0,20.0,1,0,29.0,27.0,1.0,0.0,24.0,30.0
52,52,Se,Jt,4.0,Se,17.0,27.0,0,1,3.0,24.0,0.0,0.0,18.0,37.0
53,53,Bu,Ne,4.0,Bu,0.0,16.0,0,1,0.0,27.0,0.0,0.0,18.0,33.0
54,54,Ca,At,4.0,At,48.0,33.0,1,0,45.0,32.0,1.0,1.0,22.0,10.0
55,55,Oa,Ba,4.0,Oa,27.0,28.0,0,1,19.0,17.0,1.0,1.0,17.0,10.0
56,56,Dt,Ch,4.0,Ch,17.0,14.0,1,0,17.0,31.0,0.0,0.0,27.0,34.0
57,57,Dn,Tb,4.0,Dn,7.0,27.0,0,1,37.0,32.0,1.0,1.0,29.0,17.0
58,58,La,Az,4.0,La,13.0,17.0,0,1,18.0,33.0,0.0,1.0,37.0,32.0
59,59,No,Sd,4.0,No,34.0,35.0,0,1,22.0,26.0,0.0,1.0,45.0,32.0
60,60,Da,Sf,4.0,Da,17.0,24.0,0,1,18.0,37.0,0.0,0.0,17.0,31.0
61,61,Kc,Pt,4.0,Pt,43.0,14.0,1,0,3.0,34.0,0.0,0.0,3.0,24.0
62,62,Gi,Mn,4.0,Mn,24.0,10.0,1,0,22.0,10.0,1.0,1.0,29.0,27.0
63,63,Az,Sf,5.0,Az,21.0,33.0,0,1,24.0,17.0,1.0,1.0,17.0,13.0
64,64,Ne,Cl,5.0,Ne,13.0,33.0,0,1,20.0,31.0,0.0,1.0,16.0,0.0
65,65,Ph,Dt,5.0,Dt,24.0,23.0,1,0,14.0,17.0,0.0,0.0,3.0,34.0
66,66,Ch,In,5.0,In,29.0,23.0,1,0,27.0,30.0,0.0,0.0,14.0,17.0
67,67,Tn,Mi,5.0,Tn,17.0,30.0,0,1,7.0,22.0,0.0,0.0,20.0,27.0
68,68,W,Ba,5.0,W,10.0,16.0,0,1,28.0,27.0,1.0,0.0,20.0,31.0
69,69,Ho,Mn,5.0,Mn,31.0,13.0,1,0,10.0,24.0,0.0,0.0,20.0,27.0
70,70,Jt,Pt,5.0,Pt,31.0,13.0,1,0,14.0,43.0,0.0,1.0,27.0,17.0
71,71,At,Dn,5.0,At,16.0,23.0,0,1,27.0,7.0,1.0,0.0,33.0,48.0
72,72,Cn,Da,5.0,Da,28.0,14.0,1,0,24.0,17.0,1.0,0.0,7.0,22.0
73,73,Bu,La,5.0,Bu,19.0,30.0,0,1,17.0,13.0,1.0,1.0,16.0,0.0
74,74,Sd,Oa,5.0,Oa,34.0,31.0,1,0,28.0,27.0,1.0,1.0,35.0,34.0
75,75,Gi,Gb,5.0,Gb,23.0,16.0,1,0,27.0,34.0,0.0,0.0,10.0,24.0
76,76,Tb,Ca,5.0,Tb,14.0,17.0,0,1,33.0,48.0,0.0,1.0,27.0,7.0
77,77,Dn,Sd,6.0,Sd,21.0,13.0,1,0,31.0,34.0,0.0,1.0,23.0,16.0
78,78,Sf,Bu,6.0,Bu,45.0,16.0,1,0,30.0,19.0,1.0,1.0,33.0,21.0
79,79,Ph,W,6.0,W,27.0,20.0,1,0,16.0,10.0,1.0,0.0,23.0,24.0
80,80,Cl,Tn,6.0,Tn,28.0,26.0,1,0,30.0,17.0,1.0,1.0,33.0,13.0
81,81,Ba,Gi,6.0,Gi,27.0,23.0,1,0,16.0,23.0,0.0,1.0,16.0,10.0
82,82,Ca,No,6.0,No,41.0,38.0,1,0,35.0,34.0,1.0,1.0,17.0,14.0
83,83,Jk,Ch,6.0,Jk,16.0,17.0,0,1,23.0,29.0,0.0,0.0,27.0,30.0
84,84,La,Dt,6.0,Dt,31.0,28.0,1,0,23.0,24.0,0.0,1.0,30.0,19.0
85,85,Pt,Mi,6.0,Mi,30.0,15.0,1,0,30.0,17.0,1.0,0.0,13.0,31.0
86,86,Cn,Ne,6.0,Ne,35.0,17.0,1,0,33.0,13.0,1.0,0.0,14.0,28.0
87,87,Kc,Oa,6.0,Kc,10.0,26.0,0,1,31.0,34.0,0.0,0.0,14.0,43.0
88,88,At,Se,6.0,Se,26.0,24.0,1,0,27.0,17.0,1.0,1.0,23.0,16.0
89,89,Da,Gb,6.0,Da,16.0,30.0,0,1,16.0,23.0,0.0,0.0,14.0,28.0
90,90,In,Ho,6.0,Ho,26.0,23.0,1,0,13.0,31.0,0.0,0.0,23.0,29.0
91,91,Jt,Az,6.0,Az,28.0,3.0,1,0,33.0,21.0,1.0,0.0,13.0,31.0
92,92,Ch,Gb,7.0,Gb,26.0,10.0,1,0,30.0,16.0,1.0,1.0,17.0,16.0
93,93,Gi,La,7.0,Gi,10.0,17.0,0,1,28.0,31.0,0.0,0.0,23.0,27.0
94,94,No,Kc,7.0,Kc,27.0,21.0,1,0,26.0,10.0,1.0,0.0,38.0,41.0
95,95,In,Tn,7.0,In,26.0,34.0,0,1,26.0,28.0,0.0,0.0,23.0,26.0
96,96,Mn,Ph,7.0,Ph,21.0,10.0,1,0,20.0,27.0,0.0,0.0,13.0,31.0
97,97,Cl,Cn,7.0,Cn,31.0,17.0,1,0,17.0,35.0,0.0,0.0,26.0,28.0
98,98,W,Dt,7.0,Dt,20.0,17.0,1,0,28.0,31.0,0.0,0.0,20.0,27.0
99,99,Oa,Jk,7.0,Oa,16.0,33.0,0,1,17.0,16.0,1.0,1.0,26.0,10.0
100,100,Bu,Mi,7.0,Mi,28.0,25.0,1,0,15.0,30.0,0.0,0.0,16.0,45.0
101,101,Ba,Jt,7.0,Jt,24.0,16.0,1,0,3.0,28.0,0.0,0.0,23.0,27.0
102,102,Tb,Sf,7.0,Tb,17.0,34.0,0,1,16.0,45.0,0.0,1.0,17.0,14.0
103,103,Sd,At,7.0,Sd,30.0,33.0,0,1,24.0,26.0,0.0,0.0,13.0,21.0
104,104,Ne,Pt,7.0,Ne,16.0,27.0,0,1,15.0,30.0,0.0,0.0,17.0,35.0
105,105,Se,Az,7.0,PP,6.0,6.0,0,0,3.0,28.0,0.0,0.0,24.0,26.0
106,106,Ho,Dn,7.0,Dn,27.0,9.0,1,0,13.0,21.0,0.0,0.0,23.0,26.0
107,107,Jk,Tn,8.0,Tn,36.0,22.0,1,0,34.0,26.0,1.0,1.0,33.0,16.0
108,108,W,Cn,8.0,PP,27.0,27.0,0,0,17.0,31.0,0.0,0.0,17.0,20.0
